episode,seed,budget,cons_success,best_k,best_k_delta,best_k_switch_return,best_k_wait_return
1,1721243783,125,0,3,0.9599999999999995,-0.04000000000000048,-1.0
2,642967485,135,1,-1,,,
3,2092480939,145,0,39,1.44,0.43999999999999984,-1.0
4,157920834,195,1,-1,,,
5,701812403,190,1,-1,,,
6,1300844275,215,1,-1,,,
7,1496883938,120,0,2,1.1399999999999997,0.13999999999999957,-1.0
8,1216596887,215,1,-1,,,
9,1072910517,130,1,-1,,,
10,919874222,205,1,-1,,,
11,829219442,125,0,6,0.9599999999999995,-0.04000000000000048,-1.0
12,431979099,185,1,-1,,,
13,553571675,215,1,-1,,,
14,1394324616,140,0,64,2.0,1.0,-1.0
15,233644216,150,1,-1,,,
16,1636661130,170,1,-1,,,
17,426858918,175,1,-1,,,
18,1168320398,215,1,-1,,,
19,1855112509,150,0,134,2.0,1.0,-1.0
20,757713977,175,1,-1,,,
21,852509584,145,1,-1,,,
22,810447139,145,0,0,0.020000000000000018,0.2799999999999997,0.2599999999999997
23,1497895342,155,0,64,1.2999999999999998,0.2999999999999997,-1.0
24,772897804,180,1,-1,,,
25,1297299798,120,0,5,1.0999999999999996,0.09999999999999953,-1.0
26,1421871182,180,1,-1,,,
27,1282956472,135,0,32,1.44,0.43999999999999984,-1.0
28,1734117216,150,0,51,0.020000000000000018,0.23999999999999966,0.21999999999999964
29,21391174,140,0,47,1.1399999999999997,0.13999999999999957,-1.0
30,1925506798,195,1,-1,,,
31,886422588,135,0,38,2.0,1.0,-1.0
32,1369611107,120,1,-1,,,
33,308822694,155,0,57,2.0,1.0,-1.0
34,42453081,155,1,-1,,,
35,8197258,160,0,55,1.0399999999999996,0.03999999999999948,-1.0
36,1942570333,150,1,-1,,,
37,1492810043,120,0,28,1.2599999999999998,0.2599999999999997,-1.0
38,1120456997,135,0,14,0.09999999999999998,0.03999999999999948,-0.0600000000000005
39,1137634048,170,1,-1,,,
40,1098957214,120,0,29,1.66,0.6599999999999999,-1.0
41,1315252817,190,1,-1,,,
42,427653751,120,0,13,0.020000000000000018,0.03999999999999948,0.019999999999999463
43,379252415,135,0,16,0.020000000000000018,0.11999999999999955,0.09999999999999953
44,1655294651,155,1,-1,,,
45,2025229691,120,0,22,1.3199999999999998,0.31999999999999973,-1.0
46,224892750,220,1,-1,,,
47,1733381273,140,1,-1,,,
48,1069971008,155,1,-1,,,
49,2121922286,120,1,-1,,,
50,813757011,160,0,70,2.0,1.0,-1.0
51,323590813,120,0,14,0.9799999999999995,-0.020000000000000462,-1.0
52,1776314643,135,0,0,0.020000000000000018,0.1599999999999996,0.13999999999999957
53,1512147777,130,0,32,1.0799999999999996,0.07999999999999952,-1.0
54,1281220209,120,0,3,0.020000000000000018,0.03999999999999948,0.019999999999999463
55,1470918668,220,1,-1,,,
56,1355989116,215,0,194,2.0,1.0,-1.0
57,1883956431,170,1,-1,,,
58,190750787,145,0,52,2.0,1.0,-1.0
59,804027151,165,1,-1,,,
60,957654402,125,0,1,1.0799999999999996,0.07999999999999952,-1.0
61,1388845118,145,0,38,0.040000000000000036,0.2999999999999997,0.2599999999999997
62,550000357,135,0,25,1.64,0.6399999999999999,-1.0
63,1011645463,190,1,-1,,,
64,52848600,125,1,-1,,,
65,215363784,185,1,-1,,,
66,1798722962,125,0,17,1.1399999999999997,0.13999999999999957,-1.0
67,1313352604,165,1,-1,,,
68,372265577,120,0,19,1.1999999999999997,0.19999999999999962,-1.0
69,1184320595,170,0,100,2.0,1.0,-1.0
70,1442980305,205,1,-1,,,
71,1784197266,130,0,7,0.2600000000000001,0.1799999999999996,-0.08000000000000052
72,252659137,220,1,-1,,,
73,1737271281,200,1,-1,,,
74,1891596745,150,0,75,2.0,1.0,-1.0
75,680674464,135,0,44,2.0,1.0,-1.0
76,1152741941,125,0,39,1.8,0.8,-1.0
