Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	EpGoals	TestEpGoals	TotalEnvInteracts	AverageQR1Vals	StdQR1Vals	MaxQR1Vals	MinQR1Vals	AverageQR2Vals	StdQR2Vals	MaxQR2Vals	MinQR2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQR1	LossQR2	LossAlpha	LogAlpha	Alpha	PiEntropy	TestTime	EpochTime	TotalTime
1	-40.21916	7.340865	-17.715364	-52.115463	0.34753948	1.0017169	3.4728518	-1.8987728	201.15541	190.875	0.006756757	0.05	30004.0	1.4660416	1.2582527	3.4530833	-2.2639663	1.5152849	1.2199061	3.3868911	-2.1197228	-1.2705307	0.6205695	16.273693	-8.563547	-1.6414547	0.07253607	0.1008613	0.55357903	-2.316456	0.18124723	1.2705307	4.592959	99.85993	100.75605320930481
2	-37.631462	8.980483	-6.1470013	-52.842136	1.4006004	0.95832276	3.573506	-2.2450624	192.46153	184.725	0.102564104	0.15	60004.0	-3.8746905	1.7428287	0.9692988	-7.5787544	-3.8746793	1.74301	1.0322093	-7.561589	-0.55947787	1.5272182	26.1175	-14.0421295	3.8811784	0.005613317	0.0054083588	0.01518796	-5.5923166	0.005116112	0.55947787	4.2953763	105.76321	206.59130859375
3	-26.264109	9.895028	-11.318778	-51.32259	2.5565698	0.76184136	3.7563846	1.0927584	143.42513	135.325	0.65700483	0.75	90004.0	-7.7491	2.3453867	3.3828957	-11.924322	-7.749109	2.3452	3.6490343	-11.800888	2.015247	2.8026347	35.59173	-11.464891	7.753178	0.023685347	0.023516491	-4.1167867e-05	-6.5337176	0.0015398244	-2.015247	4.8588543	116.53589	323.1498053073883
4	-21.217571	8.268741	-6.414509	-49.893612	2.5152035	0.7489439	3.5675867	0.85084295	119.555115	110.15	0.8897638	0.85	120004.0	-9.343771	3.5434835	3.1895463	-14.875196	-9.343773	3.5435119	3.254739	-14.833529	2.0162277	2.5959156	26.081009	-11.684061	9.350374	0.020749148	0.020544702	-4.4157656e-05	-5.8946123	0.002821904	-2.0162277	4.792436	122.71884	445.9328718185425
5	-19.980015	6.9026694	-5.7205677	-50.07114	2.8635888	0.49774918	3.7236729	1.4196422	114.03435	110.575	0.9160305	1.0	150004.0	-9.496367	4.2687664	7.1877565	-16.7614	-9.496375	4.2686925	7.162964	-16.669193	2.0063481	2.341875	27.376286	-11.848559	9.500997	0.019076068	0.019290948	-2.51688e-05	-5.4754205	0.004215775	-2.0063481	5.065283	124.24393	570.0687236785889
6	-18.30597	4.2758403	-6.0788465	-34.0888	2.7867174	0.57178193	3.7607257	1.115353	106.13732	108.075	0.9859155	0.925	180004.0	-9.036586	4.3036737	8.33922	-17.162086	-9.036608	4.303688	8.123086	-17.251148	1.9976988	2.214953	26.516924	-13.532619	9.041957	0.018529277	0.01828868	1.2314584e-05	-5.319357	0.004901828	-1.9976987	4.930608	123.18056	693.3246054649353
7	-17.64175	4.3581414	-5.934275	-40.26372	2.8050232	0.43440345	3.4636657	1.4573269	102.821915	94.075	0.9828767	1.0	210004.0	-8.62004	4.222353	3.537131	-17.145693	-8.620046	4.2223988	3.470924	-17.140305	2.003159	2.145639	18.869886	-12.359741	8.628037	0.014481713	0.014341118	-1.2921747e-05	-5.3986297	0.0045273453	-2.003159	4.908412	126.56674	819.756377696991
8	-16.692318	3.8219843	-5.171079	-24.508831	2.9674897	0.44960102	3.7259903	2.234305	98.05574	99.05	1.0	1.0	240004.0	-8.20539	4.1842895	5.2406173	-17.390387	-8.205388	4.1843576	4.521547	-17.337992	1.9979151	2.057033	19.79096	-12.271603	8.209128	0.01244371	0.0123977	1.1216061e-05	-5.3486295	0.004759675	-1.997915	4.936701	126.528984	946.2817885875702
9	-16.807007	4.0061274	-4.992529	-25.130737	2.934565	0.44934967	3.6328833	2.1618154	98.60656	96.125	1.0	1.0	270004.0	-7.8592615	4.0664444	3.5287392	-17.304644	-7.859272	4.0664268	2.983624	-17.316963	2.000936	2.0242717	20.666231	-11.794336	7.8648214	0.011064343	0.0112509355	-2.6877165e-06	-5.4314523	0.0043796212	-2.000936	4.9641094	126.68461	1072.9874804019928
10	-16.575397	3.4505262	-6.069763	-28.307238	2.9263701	0.46136284	3.6911619	2.1442626	97.4513	97.4	1.0	1.0	300004.0	-7.654152	3.993872	5.302696	-17.042583	-7.654159	3.9938464	5.235456	-17.178305	2.0001671	2.0133946	27.646172	-12.694084	7.6612835	0.0095132105	0.009573324	6.6848395e-07	-5.389689	0.004564654	-2.0001671	4.897625	127.422424	1200.557917356491
11	-16.258818	3.6561015	-5.5307393	-31.020145	2.9317412	0.42325267	3.7094228	2.137531	95.83654	94.075	1.0	1.0	330004.0	-7.523631	3.950076	4.8000894	-17.023098	-7.5236373	3.9500546	4.731627	-17.14612	2.0005615	2.0130422	24.593262	-11.363025	7.5336866	0.009619421	0.009600078	-1.0400414e-06	-5.433782	0.004368263	-2.0005617	4.9156756	126.83185	1327.1762268543243
12	-16.064499	3.1989236	-5.174975	-23.438734	2.8807747	0.3949738	3.6692343	2.1223476	94.949524	92.375	1.0	1.0	360004.0	-7.438542	3.9748762	3.2125895	-17.05785	-7.4385505	3.974861	3.164002	-17.093433	1.9970149	2.03737	26.591234	-12.407735	7.448837	0.008357447	0.008328247	1.4161391e-05	-5.508977	0.004053149	-1.9970151	4.87117	128.68161	1455.9628508090973
13	-16.134174	3.3537624	-5.37331	-24.056458	2.9859765	0.5272995	3.6321244	1.5880666	95.38535	95.075	1.0	1.0	390004.0	-7.3316917	3.9755392	5.0452366	-16.984251	-7.3317	3.9754968	2.4358494	-17.107574	2.0005078	1.9938029	29.909008	-13.019159	7.3414574	0.0074828495	0.0074329297	-9.436498e-07	-5.4912515	0.0041251597	-2.000508	4.9939995	129.81302	1585.811442375183
14	-16.106615	3.076786	-5.1771545	-23.267654	2.7578418	0.58223313	3.6413705	1.4986581	95.20318	87.975	1.0	1.0	420004.0	-7.170279	3.9203682	5.4832377	-16.890469	-7.170278	3.9203644	2.9238958	-16.990843	1.9998697	1.9687214	26.131756	-15.085768	7.178637	0.006631025	0.0065634716	1.6975463e-06	-5.5579033	0.0038596557	-1.9998698	4.8759403	129.36191	1715.082492351532
15	-16.168146	3.214356	-5.7071705	-23.711786	2.8262355	0.37759817	3.6108596	2.0908413	95.60191	90.4	1.0	1.0	450004.0	-7.056819	3.884454	5.142408	-16.376997	-7.0568223	3.8844087	2.0929976	-16.332548	1.9976294	1.9496893	29.333187	-12.112946	7.065422	0.0060193664	0.0059938794	9.7735065e-06	-5.5731416	0.0038017463	-1.9976294	4.9624357	127.144844	1842.191086769104
16	-16.090752	3.4714782	-5.181682	-23.384417	3.0222914	0.4831237	3.7159777	1.4833336	95.17405	96.375	1.0	1.0	480004.0	-6.971049	3.8577883	4.1510363	-16.241827	-6.9710536	3.8578193	3.4408689	-16.41551	2.00081	1.958432	30.971897	-12.70867	6.9799156	0.0055493275	0.0053688153	-1.8697003e-06	-5.6588335	0.0034889872	-2.00081	4.907359	131.16153	1973.433564901352
17	-16.022118	2.9463236	-5.7073236	-23.013922	2.8726268	0.53637457	3.6722062	1.4247504	94.82539	90.875	1.0	1.0	510004.0	-6.9191866	3.8376148	3.9583402	-16.347862	-6.9191947	3.8376236	3.7862365	-16.385992	1.9994209	1.9764863	31.439175	-12.171709	6.928124	0.00513277	0.005023057	3.333632e-06	-5.680824	0.003412822	-1.9994209	4.907758	128.31	2101.6828830242157
18	-15.6477995	3.1194553	-5.907551	-23.688042	2.8432164	0.4135256	3.6482246	1.6518104	92.64706	91.175	1.0	1.0	540004.0	-6.8612323	3.8090756	2.7734144	-16.258158	-6.8612356	3.809057	3.4951098	-16.30859	2.000597	1.9629337	25.554659	-14.160087	6.870992	0.004757667	0.0048248027	-7.171333e-07	-5.699299	0.003350325	-2.0005972	4.878705	129.39345	2231.071270942688
