Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	EpLen	TestEpLen	EpGoals	TestEpGoals	CumulativeCost	CostRate	TotalEnvInteracts	AverageQR1Vals	StdQR1Vals	MaxQR1Vals	MinQR1Vals	AverageQR2Vals	StdQR2Vals	MaxQR2Vals	MinQR2Vals	AverageQCVals	StdQCVals	MaxQCVals	MinQCVals	AverageQCVar	StdQCVar	MaxQCVar	MinQCVar	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQR1	LossQR2	LossQC	LossQCVar	LossAlpha	LogAlpha	Alpha	LossBeta	LogBeta	Beta	PiEntropy	TestTime	EpochTime	TotalTime
1	-0.021850275	0.67640656	2.7029574	-3.1779304	-0.044885803	0.57900006	1.7111652	-1.2628378	8.1081085	27.42561	163.0	0.0	8.8	31.986872	158.0	0.0	199.86487	196.625	0.02027027	0.0	1200.0	0.02	30004.0	3.6165755	1.48652	5.812554	-3.6696346	3.5339885	1.6566371	5.818974	-3.765665	-0.29932067	1.4409673	20.078064	-2.7560272	0.66301847	0.93850636	61.86353	0.030862167	-0.9755363	1.2216927	20.397886	-10.169027	-6.597853	0.12639539	0.077392176	0.024492556	0.04693919	0.54728484	-2.2797027	0.18314455	0.036621235	-7.3485875	0.041166108	0.9755363	4.631658	138.85216	139.72059869766235
2	0.15800941	0.8875899	2.8721309	-3.035734	-0.66795844	1.3856015	0.83052254	-4.555732	13.942307	36.533836	178.0	0.0	6.6	29.133999	159.0	0.0	191.39102	204.5	0.051282052	0.0	3375.0	0.0375	60004.0	2.8440218	1.5590957	5.338397	-2.4668107	2.8440173	1.5589832	5.356673	-2.4599874	0.23504166	1.8620776	22.614138	-3.3062024	0.72228205	1.3040608	43.17063	0.0070226975	0.46692976	2.844575	50.091198	-12.152426	-2.0927572	0.0014106429	0.0016111066	0.018910762	0.07260281	0.012165271	-5.3137546	0.0061890916	1.5673528e-06	-9.489395	7.729955e-05	-0.46692973	4.2224007	143.92984	283.66184520721436
3	0.23936793	0.602321	2.2971754	-1.4519148	0.4325797	0.28206462	1.0026479	-0.5658467	7.6688743	28.170656	213.0	0.0	14.8	44.82142	180.0	0.0	200.351	204.25	0.0066225166	0.0	4533.0	0.037775	90004.0	1.3283286	1.3185514	3.9520912	-2.8670888	1.3283138	1.3185833	3.9565997	-3.2394016	0.56055593	2.736529	34.12261	-8.289738	0.6397867	1.7400566	95.77075	1.3858997e-07	1.9708685	4.534646	80.80031	-10.760067	1.0606903	0.000382557	0.00038004792	0.03266881	0.15103121	0.00011296719	-6.084327	0.0023826563	0.0052451417	-2.8592718	0.35416812	-1.9708685	4.249605	142.2397	425.98296451568604
4	0.439462	0.7500882	3.571139	-0.81517977	0.43445915	0.60584164	1.3423221	-1.0609709	4.7712417	20.976955	128.0	0.0	25.2	48.31315	185.0	0.0	194.90196	194.75	0.05882353	0.0	5263.0	0.03508666666666667	120004.0	0.39375535	0.94246525	2.6254857	-3.0505946	0.39374554	0.94248885	2.6103325	-3.1632674	0.81117344	3.2519062	38.17889	-10.38071	0.5807545	2.070682	90.08217	1e-08	2.0003493	4.840611	100.160515	-11.383077	1.8572078	0.00050063373	0.0004907337	0.03817839	0.20013702	9.607267e-06	-6.0449266	0.0024051704	5.463644e-05	-7.3170342	0.0015238272	-2.0003493	4.1501303	144.35162	570.2631113529205
5	0.81496805	1.0483199	3.6531055	-1.5590761	0.25243908	0.6546809	1.668333	-0.7583778	5.548193	21.203987	133.0	0.0	0.425	2.6541243	17.0	0.0	182.1506	194.925	0.16867469	0.05	6184.0	0.034355555555555556	150004.0	-0.1400155	0.63147783	1.6595361	-3.8145444	-0.14000262	0.63149977	2.3027434	-3.9567752	0.874063	3.090216	39.42267	-18.3279	0.57807016	2.243124	110.293274	1e-08	1.9630091	4.9208574	90.575935	-11.535851	1.9997381	0.0007675579	0.00076759816	0.03893371	0.18960878	9.2365284e-05	-5.9910507	0.0025676046	9.590726e-07	-11.326535	2.074364e-05	-1.9630094	4.2159114	146.0263	716.2964777946472
6	0.78338695	0.8342755	2.8487947	-1.229362	0.6927196	0.69380426	2.8795784	-0.3292348	7.246753	22.628654	163.0	0.0	0.35	1.3143439	7.0	0.0	193.77272	191.6	0.077922076	0.075	7300.0	0.034761904761904765	180004.0	-0.3478315	0.4170652	1.6333307	-3.8790772	-0.34782332	0.41709024	1.5442371	-3.8840878	0.9553681	3.0007648	43.13482	-9.564163	0.49025717	2.1450422	103.52441	1e-08	2.0176227	4.804683	76.67824	-13.715239	2.096942	0.0007187472	0.0007170309	0.03297023	0.18066649	-3.275711e-05	-6.067695	0.0023546966	2.2094046e-08	-15.100418	4.7818907e-07	-2.0176225	4.2220497	144.64328	860.9581825733185
7	0.661886	0.6855261	2.8689203	-0.69288963	0.74666667	1.0163368	2.589053	-0.65146863	1.8051949	12.522746	143.0	0.0	2.025	10.631292	67.0	0.0	194.43506	183.675	0.038961038	0.175	7578.0	0.031575	210004.0	-0.40350628	0.36430863	1.939339	-3.660604	-0.4035023	0.3643168	1.8548677	-3.7086604	0.9444406	2.842592	41.928185	-9.159637	0.4634401	1.9445041	141.98657	1e-08	1.9645176	4.6959796	77.206055	-12.32138	2.0557635	0.0007697681	0.0007586286	0.030344877	0.16300537	7.857606e-05	-6.2577386	0.0019622822	4.7094656e-10	-18.131533	1.1869485e-08	-1.9645174	4.380018	144.07788	1005.2546765804291
8	1.2712638	1.1807363	3.5271218	-0.4832976	1.9792541	0.95762813	3.6139255	0.26659888	0.9830508	6.306193	54.0	0.0	10.85	21.730797	86.0	0.0	170.74011	159.75	0.3502825	0.475	7752.0	0.02871111111111111	240004.0	-0.3445121	0.32231158	1.5794767	-3.3109992	-0.34450653	0.32235408	1.8223071	-3.1807199	0.8310372	2.7078056	39.946312	-6.186923	0.5953417	2.0381918	89.970985	1e-08	1.9677553	4.3656387	82.624016	-11.386496	2.0000563	0.00055014965	0.0005399816	0.027850915	0.14613155	5.217069e-05	-6.4005103	0.0016919288	1.2095163e-11	-18.420683	4.1107048e-10	-1.9677552	4.622937	151.24983	1156.4223606586456
9	1.1128534	1.0928704	3.5862558	-0.32204452	1.7123003	1.3939563	3.6255045	-0.23970233	0.5030303	4.57877	53.0	0.0	0.6	3.7469985	24.0	0.0	181.13939	167.375	0.23636363	0.475	7835.0	0.026116666666666667	270004.0	-0.22331508	0.3662534	1.522626	-2.6708272	-0.22330813	0.36627138	1.6407256	-2.7153924	0.67985517	2.4786296	39.44956	-9.02347	0.70581317	1.9787129	92.14997	2.564335e-07	1.9941914	4.317406	81.79336	-11.732069	1.7471969	0.00054727594	0.00054686854	0.02451803	0.12494927	1.2035147e-05	-6.451894	0.0015975164	7.081509e-13	-18.420683	4.5512715e-11	-1.9941912	4.7190022	147.79088	1304.2745280265808
10	1.5743151	1.1208591	3.6108892	-0.124376155	1.7667233	1.164053	3.6626465	0.07961222	0.43258426	4.689032	61.0	0.0	0.75	4.6837487	30.0	0.0	168.08989	151.55	0.3988764	0.55	7912.0	0.023975757575757577	300004.0	-0.11418857	0.40336153	1.5637128	-3.0897994	-0.114191845	0.40337172	1.569836	-3.103158	0.5472933	2.2443612	38.833557	-7.835513	0.7969602	1.9026172	120.66598	1.1128585e-07	1.9844722	4.0692196	83.01099	-12.323986	1.4041535	0.0004846728	0.00048448454	0.022045834	0.10553148	2.2137549e-05	-6.6582994	0.0013033439	1.8238511e-13	-18.420683	2.0684548e-11	-1.9844722	4.6684184	152.16223	1456.3751020431519
