Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	EpGoals	TestEpGoals	TotalEnvInteracts	AverageQR1Vals	StdQR1Vals	MaxQR1Vals	MinQR1Vals	AverageQR2Vals	StdQR2Vals	MaxQR2Vals	MinQR2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQR1	LossQR2	LossAlpha	LogAlpha	Alpha	PiEntropy	TestTime	EpochTime	TotalTime
1	-0.96439254	0.32793915	-0.23283422	-3.54381	-1.6173317	1.8866992	2.8923638	-3.9465933	171.14943	162.9	0.0	0.075	30004.0	4.376504	1.7368519	6.5018005	-3.7113113	4.424029	1.6279898	6.4097567	-4.7389293	-1.238105	0.6689043	16.773594	-8.3796425	-4.5455384	0.07855647	0.09704258	0.5535396	-2.31218	0.1814275	1.2381052	4.441773	100.89766	101.76393675804138
2	-0.77025914	0.7883767	2.8037837	-2.5599613	0.9495241	1.3409249	3.471853	-0.9064816	166.86592	155.575	0.02793296	0.3	60004.0	3.1154635	2.126909	5.8706956	-2.9858267	3.1154714	2.1268668	5.9119124	-3.03195	-0.6847639	1.220696	12.042313	-11.405732	-3.1123595	0.0015014391	0.0016265879	0.015285029	-5.604321	0.0051448615	0.68476385	4.2226944	104.051414	205.8619830608368
3	1.4391396	1.4891785	3.5551744	-2.6094906	2.2066379	1.1227947	3.7352815	-1.0288744	135.72398	114.45	0.5882353	0.725	90004.0	1.3796859	1.7307465	4.1325145	-1.4205272	1.37968	1.7307625	4.154741	-1.4170665	1.6884061	2.1913054	21.874552	-14.05978	-1.3786701	0.00079854374	0.0007705757	0.0002281461	-7.42046	0.0006074211	-1.6884061	4.574378	113.90334	319.7481904029846
4	2.2229013	0.87659675	3.5548413	-1.1537405	2.6095707	0.57096106	3.5678077	1.0240339	107.90357	94.725	0.86071426	0.95	120004.0	0.70169824	1.1726912	3.1770792	-1.4837506	0.7017019	1.1726904	3.1743212	-1.4747382	2.007787	2.0846786	19.010704	-12.788862	-0.703363	0.00077847263	0.0007730103	-6.0361167e-06	-7.0962567	0.00083115126	-2.007787	4.753482	122.56761	442.24521136283875
5	2.4562411	0.81141317	3.7481558	-2.4550061	2.8595288	0.49534795	3.7110968	1.4168857	103.3	98.55	0.93793106	1.0	150004.0	0.52260864	0.81724477	2.5489483	-1.5577246	0.522633	0.817204	2.529778	-1.5959005	2.0024657	2.0083432	16.697994	-11.297871	-0.52291805	0.00069972407	0.0007065985	-2.179549e-06	-6.9090815	0.000999691	-2.0024657	4.8543057	126.55703	568.9787843227386
6	2.6556597	0.444041	3.8206685	0.55398446	2.8931248	0.39794037	3.7624457	2.1753325	101.35473	96.55	0.9797297	1.0	180004.0	0.60658884	0.7267606	1.9239057	-1.5891402	0.6066	0.7267444	1.9330674	-1.5719861	1.9997274	2.0047204	19.319752	-12.700409	-0.6066865	0.00065507786	0.0006459627	6.360844e-07	-6.8696613	0.0010394028	-1.9997272	4.8720345	125.055435	693.9808475971222
7	2.6309159	0.41796067	3.7292233	0.39489517	2.8038623	0.43282944	3.4503117	1.4710815	99.0132	92.95	0.97029704	1.0	210004.0	0.7146115	0.711667	1.6107154	-1.5609738	0.7146124	0.7116699	1.6422335	-1.5438124	1.9992504	1.9669628	18.76836	-13.766529	-0.7134452	0.00056759757	0.0005508039	1.1204833e-06	-6.8721666	0.0010367675	-1.9992504	4.8359385	125.72179	819.6674950122833
8	2.6282551	0.4965266	3.7224247	0.16505279	2.9671538	0.44655776	3.7144523	2.2359133	97.781044	98.375	0.9705882	1.0	240004.0	0.7863531	0.6947556	1.6093426	-1.557789	0.7863506	0.694769	1.6304466	-1.5514596	2.0009584	1.9621474	20.833431	-12.72937	-0.78436637	0.00058315747	0.00056643056	-6.5463036e-07	-6.8842106	0.0010241941	-2.000958	4.848095	128.44475	948.0100207328796
9	2.672244	0.37956846	3.7566395	0.5684802	2.8770604	0.50887245	3.6239843	1.2515969	96.3955	96.0	0.9903537	0.975	270004.0	0.84799385	0.6746791	1.633175	-1.5861465	0.8479968	0.6746823	1.6339678	-1.5543423	1.9999703	1.9467949	20.205914	-13.076366	-0.8455741	0.0005396021	0.0005239479	3.14943e-07	-6.8929925	0.0010152032	-1.9999703	4.8293414	126.742966	1074.890688419342
10	2.6611328	0.5211161	3.760313	0.07739564	2.8169255	0.5388736	3.679716	1.4002442	96.517685	97.85	0.9710611	0.95	300004.0	0.89929974	0.6542954	1.6228725	-1.7205083	0.89930284	0.65429956	1.6158593	-1.6365864	1.9982347	1.9209366	17.197239	-12.929028	-0.89652294	0.00047492055	0.0004558276	2.0003686e-06	-6.9103065	0.0009978337	-1.9982349	4.791401	129.56972	1204.4556813240051
11	2.6615324	0.44891232	3.66489	0.32909688	2.9318724	0.42381802	3.7226675	2.1362233	97.51948	97.725	0.97402596	1.0	330004.0	0.93597996	0.64161944	1.6232858	-1.7154325	0.9359794	0.6416305	1.6424977	-1.6438594	2.0007224	1.9176654	18.500252	-12.745653	-0.93276554	0.000461137	0.00044466375	-4.6593124e-07	-6.951298	0.0009576818	-2.0007224	4.887187	129.43527	1333.8667154312134
